Frames, Pages, Faults, Reads, Writes
5, 100, 102, 100, 95
10, 100, 115, 100, 90
15, 100, 143, 100, 85
20, 100, 140, 100, 80
25, 100, 234, 100, 75
30, 100, 292, 100, 70
35, 100, 190, 100, 65
40, 100, 254, 100, 60
45, 100, 217, 100, 55
50, 100, 352, 100, 50
55, 100, 289, 100, 45
60, 100, 387, 100, 40
65, 100, 404, 100, 35
70, 100, 348, 100, 30
75, 100, 497, 100, 25
80, 100, 425, 100, 20
85, 100, 581, 100, 15
90, 100, 460, 100, 10
95, 100, 528, 100, 5
100, 100, 100, 0, 0
5, 100, 102, 100, 95
10, 100, 115, 100, 90
15, 100, 143, 100, 85
20, 100, 140, 100, 80
25, 100, 234, 100, 75
30, 100, 292, 100, 70
35, 100, 190, 100, 65
40, 100, 254, 100, 60
45, 100, 217, 100, 55
50, 100, 352, 100, 50
55, 100, 289, 100, 45
60, 100, 387, 100, 40
65, 100, 404, 100, 35
70, 100, 348, 100, 30
75, 100, 497, 100, 25
80, 100, 425, 100, 20
85, 100, 581, 100, 15
90, 100, 460, 100, 10
95, 100, 528, 100, 5
100, 100, 100, 0, 0
5, 100, 1200, 1100, 100
10, 100, 1200, 1100, 100
15, 100, 1200, 1100, 100
20, 100, 1200, 1100, 100
25, 100, 1200, 1100, 100
30, 100, 1200, 1100, 100
35, 100, 1200, 1100, 100
40, 100, 1200, 1100, 100
45, 100, 1200, 1100, 100
50, 100, 1200, 1100, 100
55, 100, 1200, 1100, 100
60, 100, 1200, 1100, 100
65, 100, 1200, 1100, 100
70, 100, 1200, 1100, 100
75, 100, 1200, 1100, 100
80, 100, 1200, 1100, 100
85, 100, 1200, 1100, 100
90, 100, 1200, 1100, 100
95, 100, 1200, 1100, 100
100, 100, 200, 100, 100
