Frames,Pages,Faults,Reads,Writes
5, 100, 1200, 1100, 100
10, 100, 1200, 1100, 100
15, 100, 1197, 1097, 100
20, 100, 1195, 1095, 100
25, 100, 1181, 1081, 100
30, 100, 1161, 1061, 100
35, 100, 1130, 1030, 100
40, 100, 1088, 988, 100
45, 100, 1039, 939, 100
50, 100, 1004, 904, 100
55, 100, 941, 841, 100
60, 100, 883, 783, 100
65, 100, 811, 711, 100
70, 100, 709, 609, 100
75, 100, 626, 526, 99
80, 100, 590, 490, 99
85, 100, 476, 376, 95
90, 100, 409, 309, 90
95, 100, 290, 190, 56
100, 100, 200, 100, 0
